dataset,model,c,ql_trunc,precision0,recall0,f1
fresh_retail,TweedieGP,0.5,0.325734,0.484119,0.812039,0.606598
fresh_retail,TweedieGP,0.75,0.330095,0.472312,0.825864,0.600944
fresh_retail,TweedieGP,1.0,0.385662,0.402951,0.940582,0.564196
fresh_retail,TweedieGP,1.5,0.217704,0.875742,0.967498,0.919336
fresh_retail,TweedieGP,2.0,0.236556,0.84425,0.984504,0.908999
fresh_retail,WaveNet-like,0.1,0.348529,0.336589,0.0246707,0.0459719
fresh_retail,WaveNet-like,0.25,0.348177,0.475394,0.166172,0.246263
fresh_retail,WaveNet-like,0.5,0.347122,0.50465,0.598117,0.547423
fresh_retail,WaveNet-like,0.75,0.365518,0.45414,0.821329,0.58488
fresh_retail,WaveNet-like,1.0,0.401611,0.406463,0.916114,0.563093
fresh_retail,WaveNet-like,1.5,0.243479,0.871205,0.95517,0.911258
fresh_retail,WaveNet-like,2.0,0.260481,0.835944,0.982074,0.903136
m5,Autoformer,0.1,0.597192,0.751046,0.249213,0.374244
m5,Autoformer,0.25,0.591502,0.763214,0.412767,0.535773
m5,Autoformer,0.5,0.579892,0.743273,0.611052,0.670708
m5,Autoformer,0.75,0.572231,0.717779,0.733724,0.725664
m5,Autoformer,1.0,0.570009,0.695172,0.81004,0.748223
m5,Autoformer,1.5,0.514958,0.85977,0.868849,0.864285
m5,Autoformer,2.0,0.503788,0.840349,0.919303,0.878055
m5,Chronos,0.1,0.50419,0.743254,0.75394,0.748559
m5,Chronos,0.25,0.504183,0.743143,0.754348,0.748704
m5,Chronos,0.5,0.503894,0.734042,0.777578,0.755183
m5,Chronos,0.75,0.503631,0.727595,0.795554,0.760059
m5,Chronos,1.0,0.510727,0.68665,0.868992,0.767134
m5,Chronos,1.5,0.45265,0.854482,0.91499,0.883702
m5,Chronos,2.0,0.451483,0.838123,0.943448,0.887672
m5,Croston,0.1,0.548825,0.8901,0.125636,0.220192
m5,Croston,0.25,0.539927,0.843542,0.365452,0.509968
m5,Croston,0.5,0.525593,0.785085,0.607917,0.685235
m5,Croston,0.75,0.518344,0.742383,0.742068,0.742226
m5,Croston,1.0,0.518198,0.709261,0.823165,0.76198
m5,Croston,1.5,0.46379,0.869823,0.881812,0.875776
m5,Croston,2.0,0.456548,0.846574,0.929944,0.886302
m5,DLinear,0.1,0.510281,0.907776,0.162913,0.276249
m5,DLinear,0.25,0.501183,0.856961,0.405707,0.550699
m5,DLinear,0.5,0.486894,0.792741,0.653597,0.716476
m5,DLinear,0.75,0.481628,0.745035,0.782848,0.763473
m5,DLinear,1.0,0.483269,0.710712,0.858078,0.777473
m5,DLinear,1.5,0.429813,0.867736,0.905352,0.886145
m5,DLinear,2.0,0.427529,0.844367,0.945498,0.892076
m5,DeepAR,0.1,0.495947,0.709668,0.823619,0.762409
m5,DeepAR,0.25,0.496017,0.696732,0.859741,0.769701
m5,DeepAR,0.5,0.497159,0.679094,0.900866,0.774415
m5,DeepAR,0.75,0.500137,0.664089,0.927426,0.773971
m5,DeepAR,1.0,0.504598,0.651782,0.945207,0.771538
m5,DeepAR,1.5,0.435067,0.836258,0.953254,0.890931
m5,DeepAR,2.0,0.43939,0.822413,0.969492,0.889916
m5,DeepAR-negbin,0.1,0.489576,0.740003,0.793554,0.765844
m5,DeepAR-negbin,0.25,0.489576,0.740003,0.793554,0.765844
m5,DeepAR-negbin,0.5,0.489576,0.740003,0.793554,0.765844
m5,DeepAR-negbin,0.75,0.489576,0.740003,0.793554,0.765844
m5,DeepAR-negbin,1.0,0.489576,0.740003,0.793554,0.765844
m5,DeepAR-negbin,1.5,0.440813,0.853818,0.925609,0.888266
m5,DeepAR-negbin,2.0,0.440813,0.853818,0.925609,0.888266
m5,FEDformer,0.1,0.606918,0.735342,0.259162,0.383252
m5,FEDformer,0.25,0.601411,0.75173,0.418222,0.537441
m5,FEDformer,0.5,0.590072,0.736671,0.610756,0.66783
m5,FEDformer,0.75,0.582378,0.713499,0.731468,0.722372
m5,FEDformer,1.0,0.579799,0.692198,0.808044,0.745648
m5,FEDformer,1.5,0.524259,0.85811,0.867074,0.862569
m5,FEDformer,2.0,0.512312,0.839387,0.918003,0.876936
m5,HurdleDLinear,0.1,0.572966,0.632986,0.634174,0.633579
m5,HurdleDLinear,0.25,0.569729,0.650474,0.718574,0.68283
m5,HurdleDLinear,0.5,0.563639,0.655565,0.830165,0.732606
m5,HurdleDLinear,0.75,0.561916,0.646529,0.893336,0.750154
m5,HurdleDLinear,1.0,0.563895,0.635642,0.930537,0.755327
m5,HurdleDLinear,1.5,0.492906,0.813968,0.952573,0.877833
